,data_peso_predito,idGalpao,nroLote,day,peso_predito,sexo,qtde,mort,km,idIntegrador,granja,nucleo,aviario,qtdInicial,consumo,lucro,custo,custoAlimentar
9,2024-10-07,1700101,83813,42.0,2.8129101663773763,x,20672.0,-38.0,39.6,SSA,170,1,1,21500.0,4.9550538104913375,49741.39098573668,211984.91281031174,261661.56000000003
9,2024-10-07,1540102,84061,42.0,2.91137890200102,m,19719.0,-34.0,39.6,SSA,154,1,2,20500.0,5.062541996142974,32955.89244928298,225444.1795897971,256881.12
9,2024-10-07,120102,84110,41.0,2.537517699909699,f,20878.0,-18.0,11.8,SSA,12,1,2,21500.0,3.8429409628586453,44704.51110447527,193750.79261427958,243038.45
9,2024-10-07,190104,84079,40.0,2.899118793780108,m,30283.0,-40.0,44.6,SSA,19,1,4,31000.0,4.4139110330112405,86969.40989222022,308191.4490664054,392691.81
9,2024-10-07,1540101,84060,42.0,2.460116766372673,f,20599.0,-21.0,39.6,SSA,154,1,1,21200.0,4.293183780970952,21615.892596816266,206476.5370657524,245533.84
9,2024-10-07,190102,84077,40.0,2.7814226516258627,m,20045.0,-27.0,44.6,SSA,19,1,2,21000.0,4.3018549208771875,50100.57391871791,200846.45643161584,273947.48999999993
8,2024-10-08,3840108,84037,46.0,3.0956717668201246,m,38825.0,-149.0,13.4,SSA,384,1,8,43000.0,5.470980185368592,60708.99133712053,480263.7516797873,535274.22
8,2024-10-08,2100207,84151,40.0,2.814053315899568,m,18033.0,-26.0,10.9,SSA,210,2,7,20500.0,4.842980809288931,26790.200961156865,201616.75036756488,246671.65000000002
8,2024-10-08,3010103,84121,40.0,2.333429438889673,f,30545.0,-24.0,16.0,SSA,301,1,3,31500.0,3.79878838507208,45299.028647777275,275507.9559034164,351076.41000000003
8,2024-10-08,3820102,84098,41.0,2.484418652543341,f,42868.0,-37.0,16.8,SSA,382,1,2,44000.0,4.121747777867566,66852.61664489389,412513.15000142914,501379.4099999999
8,2024-10-08,1540102,84061,43.0,3.002633087986151,m,19678.0,-41.0,39.6,SSA,154,1,2,20500.0,5.310447363998721,31565.16360173034,234380.08478643678,256881.12
8,2024-10-08,3090101,83825,45.0,3.2646380096833703,m,18584.0,-59.0,40.5,SSA,309,1,1,20500.0,5.496954666767243,40726.29985656659,232349.51765000628,276510.44999999995
8,2024-10-08,3880105,84027,45.0,2.7767135144667194,f,38812.0,-69.0,10.7,SSA,388,1,5,41500.0,4.635989985904797,69341.5201087892,415730.3718518047,508811.31999999995
8,2024-10-08,2100204,84148,40.0,2.2550402181163722,f,20755.0,-16.0,10.9,SSA,210,2,4,21500.0,3.825195560676907,22221.015012103977,188440.90711914693,230134.92
8,2024-10-08,1990104,84083,42.0,2.727465167635964,x,10090.0,-19.0,12.7,SSA,199,1,4,10700.0,4.4437874895177565,29390.227716417823,94477.84834363457,506006.9
8,2024-10-08,1990103,84082,42.0,2.8432241404269645,m,19325.0,-35.0,12.7,SSA,199,1,3,21000.0,4.643114678404616,41082.181763262255,206226.6428551314,268386.6699999999
8,2024-10-08,3840215,84054,45.0,3.2043749406812645,m,36520.0,-116.0,13.4,SSA,384,2,15,40500.0,5.3018739689545065,87345.9047564987,439378.09676789405,527655.58
8,2024-10-08,1880104,84158,38.0,2.4029312555904365,f,19300.0,-14.0,11.2,SSA,188,1,4,20000.0,4.112754349053547,32072.275050477387,176668.68107078495,225295.21
8,2024-10-08,3010416,84134,39.0,2.6300277814857806,m,30070.0,-37.0,16.0,SSA,301,4,16,32000.0,4.108143490456973,66761.76502742083,289199.52915971685,364462.52999999997
8,2024-10-08,2490104,84116,39.0,2.552706280483313,m,20744.0,-25.0,16.6,SSA,249,1,4,21500.0,4.024434154717764,43851.53630132883,194491.44290830984,243587.85000000003
8,2024-10-08,3820103,84099,41.0,2.795344216589175,m,41111.0,-62.0,16.8,SSA,382,1,3,43000.0,4.541783104836941,90436.68145992217,426815.5203330552,512103.48000000004
8,2024-10-08,3090103,83827,45.0,2.8799140357851445,f,19342.0,-35.0,40.5,SSA,309,1,3,21000.0,5.009260484184689,22683.421116640733,228037.11994134262,255024.27
8,2024-10-08,2370101,84089,40.0,2.446567362603454,f,19320.0,-16.0,38.6,SSA,237,1,1,21000.0,4.174844283323863,16117.704786559741,196634.12939963004,239444.75
8,2024-10-08,3350105,83754,46.0,3.90119553566293,m,29206.0,-107.0,94.8,SSA,335,1,5,31000.0,6.579389851255791,83627.19378016907,429209.1702022174,406223.79000000004
8,2024-10-08,3820204,84100,41.0,2.385189936158804,f,20633.0,-19.0,16.8,SSA,382,2,4,22500.0,4.026838911425766,23310.569730520278,198199.95168087317,265359.01
8,2024-10-08,190101,84076,41.0,2.607803215579922,f,20951.0,-19.0,44.6,SSA,19,1,1,22000.0,4.322761026091296,33408.651479418186,212508.36786901872,267776.82
8,2024-10-08,1880103,84160,38.0,2.7451418415269333,m,17880.0,-21.0,11.2,SSA,188,1,3,19000.0,4.964409118622343,35028.325795445126,185894.86990993842,231219.51
8,2024-10-08,3010207,84125,39.0,2.441718648317988,f,28010.0,-21.0,16.0,SSA,301,2,7,30000.0,4.312331965332765,26445.077220155625,281389.7423464246,326664.60000000003
8,2024-10-08,2930101,84511,38.0,2.079592970987346,f,21970.0,-16.0,30.3,SSA,293,1,1,22500.0,3.1764088146476346,32427.604252261313,173217.04348197524,231782.99
8,2024-10-08,3840213,84052,45.0,2.977084430973258,m,37471.0,-119.0,13.4,SSA,384,2,13,41500.0,4.956111612577842,75727.2632991526,426378.7792400557,519704.54
8,2024-10-08,1970101,84518,39.0,2.563764076540781,x,19419.0,-23.0,36.8,SSA,197,1,1,21000.0,4.347490726138071,24243.718041933054,199841.87340322376,233396.42000000004
8,2024-10-08,3840107,84036,46.0,2.7457589610639754,f,40705.0,-89.0,13.4,SSA,384,1,7,44000.0,4.950379011776841,39872.09290011716,463187.20651388407,539938.77
8,2024-10-08,3880103,84026,45.0,3.1137772644151425,m,38578.0,-120.0,10.7,SSA,388,1,3,42000.0,5.669436547890138,53112.12593724398,487562.84424179577,1072957.42
